match_id,frame,timestamp_s,track_id,name,team,pitch_x,pitch_y,speed_ms,speed_kmh,acceleration,bbox_x1,bbox_y1,bbox_x2,bbox_y2
match_002,9,0.009,13,player,,54.224,4.691,3.597,12.951,-222.771,827,331,847,363
match_002,9,0.009,14,player,,25.811,22.592,10.565,38.036,113.178,366,366,386,410
match_002,9,0.009,15,player,,60.279,11.127,11.137,40.095,235.863,919,338,942,376
match_002,9,0.009,16,player,,80.226,11.757,3.374,12.145,42.171,1212,335,1236,375
match_002,9,0.009,17,player,,65.148,10.944,22.786,82.028,485.397,990,338,1013,375
match_002,9,0.009,18,player,,38.481,16.644,21.318,76.743,532.94,589,355,610,392
match_002,9,0.009,20,player,,58.664,5.921,0.0,0.0,-133.423,887,326,914,365
match_002,9,0.009,9,player,,64.121,5.732,5.347,19.249,-175.208,962,340,991,364
match_002,10,0.01,1,player,,56.242,29.281,2.81,10.116,-121.124,878,386,904,426
match_002,10,0.01,2,player,,38.575,40.063,1.23,4.427,-114.932,533,423,563,470
match_002,10,0.01,3,player,,45.87,10.351,11.487,41.352,201.422,707,338,729,376
match_002,10,0.01,4,player,,53.69,23.318,0.0,0.0,-218.036,829,367,853,408
match_002,10,0.01,5,player,,75.393,26.11,1.458,5.248,-0.005,1198,368,1228,413
match_002,10,0.01,7,player,,27.86,5.199,3.58,12.886,-0.006,458,331,476,367
match_002,10,0.01,8,player,,28.293,24.069,4.457,16.046,-74.307,399,371,425,414
match_002,10,0.01,10,player,,76.426,9.738,3.437,12.374,-204.734,1147,329,1175,371
match_002,10,0.01,13,player,,54.296,4.695,1.799,6.475,-44.972,828,331,848,363
match_002,10,0.01,14,player,,26.258,22.956,14.427,51.937,96.536,372,366,393,411
match_002,10,0.01,15,player,,60.324,10.684,11.137,40.095,0.0,919,338,942,375
match_002,10,0.01,16,player,,80.226,11.757,0.0,0.0,-84.341,1213,336,1236,375
match_002,10,0.01,17,player,,65.282,10.502,11.536,41.529,-281.247,992,337,1012,374
match_002,10,0.01,18,player,,38.609,16.65,3.212,11.563,-452.641,590,356,612,392
match_002,10,0.01,20,player,,58.444,6.876,24.501,88.202,612.513,886,328,910,367
match_002,10,0.01,9,player,,64.328,5.25,13.119,47.23,194.312,964,341,992,363
match_002,11,0.011,1,player,,56.152,28.971,8.052,28.987,131.051,878,386,901,425
match_002,11,0.011,2,player,,38.541,39.831,5.863,21.107,115.832,533,422,563,469
match_002,11,0.011,3,player,,46.006,10.359,3.415,12.294,-201.79,709,337,732,376
match_002,11,0.011,4,player,,53.705,22.971,8.666,31.197,216.648,829,367,853,407
match_002,11,0.011,5,player,,75.359,26.438,8.263,29.748,170.142,1201,368,1228,414
match_002,11,0.011,7,player,,27.909,4.717,12.119,43.628,213.487,460,332,479,366
match_002,11,0.011,8,player,,28.471,24.078,4.457,16.044,-0.008,402,371,428,414
match_002,11,0.011,10,player,,76.449,10.199,11.526,41.493,202.211,1150,330,1176,372
match_002,11,0.011,13,player,,54.418,5.197,12.905,46.458,277.662,831,332,850,364
match_002,11,0.011,14,player,,26.678,22.978,10.522,37.881,-97.61,379,366,399,411
match_002,11,0.011,15,player,,60.324,10.684,0.0,0.0,-278.437,919,339,941,375
match_002,11,0.011,16,player,,80.233,12.201,11.099,39.955,277.468,1215,336,1238,376
match_002,11,0.011,17,player,,65.282,10.502,0.0,0.0,-288.396,993,338,1012,374
match_002,11,0.011,18,player,,38.844,17.053,11.649,41.935,210.917,591,356,617,393
match_002,11,0.011,20,player,,58.196,7.34,13.155,47.359,-283.628,883,330,907,368
match_002,11,0.011,9,player,,64.609,4.767,13.954,50.235,20.868,969,341,993,362
match_002,12,0.012,1,player,,56.13,29.275,7.617,27.423,-10.865,877,385,902,426
match_002,12,0.012,2,player,,38.508,39.597,5.898,21.234,0.886,533,422,563,468
match_002,12,0.012,3,player,,46.075,10.362,1.707,6.147,-42.689,710,337,733,376
match_002,12,0.012,4,player,,53.63,23.315,8.785,31.626,2.975,828,367,852,408
match_002,12,0.012,5,player,,75.417,26.441,1.453,5.229,-170.271,1202,368,1228,414
match_002,12,0.012,7,player,,28.218,5.219,14.735,53.044,65.388,462,333,482,367
match_002,12,0.012,8,player,,28.784,24.426,11.687,42.072,180.75,406,372,432,415
match_002,12,0.012,10,player,,76.54,10.659,11.729,42.224,5.078,1154,331,1179,373
match_002,12,0.012,13,player,,54.539,5.694,12.791,46.048,-2.846,832,331,852,365
match_002,12,0.012,14,player,,27.016,22.653,11.709,42.153,29.665,386,366,407,410
match_002,12,0.012,15,player,,60.235,11.566,22.182,79.857,554.562,919,340,941,377
match_002,12,0.012,16,player,,80.047,13.067,22.144,79.72,276.142,1215,339,1239,378
match_002,12,0.012,17,player,,65.221,11.834,33.338,120.017,833.451,994,338,1014,377
match_002,12,0.012,18,player,,39.035,17.063,4.798,17.274,-171.26,594,357,620,393
match_002,12,0.012,20,player,,58.019,7.803,12.404,44.653,-18.796,882,329,904,369
match_002,13,0.013,1,player,,56.13,29.275,0.0,0.0,-190.436,877,385,901,426
match_002,13,0.013,2,player,,38.459,39.595,1.237,4.454,-116.531,534,422,560,468
